File Name,Wave-UNet,OpenUnmix,Spleeters,Demucs
Beautiful-Nubia-Beriwon1,https://drive.google.com/file/d/1--wgH448XDTg6zIyan6TvWT7QGLjPYxL/preview,https://drive.google.com/file/d/12TxC5Cn5BElhfudzZJsm9ray1UQyeSgm/preview,https://drive.google.com/file/d/1-wYSnc34zY29nG6Li3Ep7RmmueLBMQSn/preview,https://drive.google.com/file/d/15KkcXzpnFLZTcqBuPteGIO2OwIzutVvf/preview
Beautiful-Nubia-Beriwon2,https://drive.google.com/file/d/16z2yEwdU6i6ySg6LqeMs3vcyZw8JRUL2/preview,https://drive.google.com/file/d/116ADXcoLlWYnLvt3AKQw5NvtTCIFgGHm/preview,https://drive.google.com/file/d/10gkHKOGqdnDu5i31RA4CIdBdVwC9Tur7/preview,https://drive.google.com/file/d/1-7c7bILbdwi4fY4ji_tEZ2GDNolICLEo/preview
Beautiful-Nubia-IkokoAkufo1,https://drive.google.com/file/d/10dX3Flxo-XWAQrgbliF5QYHie00mrES9/preview,https://drive.google.com/file/d/10AEhKSfIQ1G6Xa26YbbqIauTTufT1hzL/preview,https://drive.google.com/file/d/11--M9-YoLw23yCnL5-Ety8C_3RWVkTAg/preview,https://drive.google.com/file/d/15quCx0sGVnsqRDW6Q76ksTQgUOg38WMb/preview
Beautiful-Nubia-IkokoAkufo2,https://drive.google.com/file/d/10oaLATLwmdNVpHgcSzELwpr56N_xIWun/preview,https://drive.google.com/file/d/14BrvtIyVI7CVqJaUGPN-ZxTOOC3uVesr/preview,https://drive.google.com/file/d/10LLsVmZw2PkTv4ViQk2khLHlKDEn3zFa/preview,https://drive.google.com/file/d/1-vP54wynHSWlnyxkRpaO3gEvONjtgzVe/preview
Beautiful-Nubia-IkokoAkufo3,https://drive.google.com/file/d/107pH7q4J3qEJFLAsESp2rel9xoMO_AOk/preview,https://drive.google.com/file/d/11-DtomNS7XOje-n1E9nme19f-EGsj4I8/preview,https://drive.google.com/file/d/10XKzhBBgGYKAXxQZnYNle7_j1LZdd0H9/preview,https://drive.google.com/file/d/16EWgzgEMWY_TociL44Dli-pme7X2xUEl/preview
Beautiful-Nubia-MaBaWonSo,https://drive.google.com/file/d/14p26zenK_c4Zxqfxe6iqdB0i-IUun8ZE/preview,https://drive.google.com/file/d/10bzvD5UW00mJCkA8qru1njqHV7m3sk79/preview,https://drive.google.com/file/d/113Sf5iqSlrGh6sFg-um7X3yCkUL2015I/preview,https://drive.google.com/file/d/1-tj9Xb0MeLAie8dzQHWPeGbRi0_Fv_LA/preview
Beautiful-Nubia-OwuroLojo1,https://drive.google.com/file/d/10VM6NPvxGD2y8eIUlyMSNDCb8d6WHxQb/preview,https://drive.google.com/file/d/148Zt7dNSa9NaYTEYJP7jt97lSftayoTh/preview,https://drive.google.com/file/d/10tgjX4doI7P_OkzCYCqIE-ot4s6P7tDj/preview,https://drive.google.com/file/d/10hWaiN8BreHoyrfUrfNcFZnW-gOoIlEY/preview
Ebenezer-Obey-IbaFoluwaAjokodabiIle1,https://drive.google.com/file/d/12O6aZiGY9QjEtCMeWBkzBmJk9yKUlxlV/preview,https://drive.google.com/file/d/1399zfYX452QQFaSt_ybup5ca8pOgLfCm/preview,https://drive.google.com/file/d/10rzfsFY6qMJ40ZC101DqQaen0BJNfwJV/preview,https://drive.google.com/file/d/100b5wU8aLOyzFhohUuCmD7SPQqRleArJ/preview
Ebenezer-Obey-IbaFoluwaAjokodabiIle2,https://drive.google.com/file/d/13txVv5-pyXY4T7rM5_9JYPsJj4YyLspY/preview,https://drive.google.com/file/d/1-KrgdRUQZ3OQqXs7qzbp1iZ3BEWD_i9o/preview,https://drive.google.com/file/d/10KQgJbD5wYbBVENLgtaLdFs_IJN_uZpA/preview,https://drive.google.com/file/d/15En9ypdAZGigXFJKYSHbXYcXvN5w-NUu/preview
Haruna-Ishola-InaRan1,https://drive.google.com/file/d/145uf4bxRD95rtRugElY4p4-Pbi8-uxl7/preview,https://drive.google.com/file/d/13gsdJLHtOddOsupr7Lk-19B7G2-lDm4g/preview,https://drive.google.com/file/d/11FOaODEITEvacUWIkMHI8E5faV85Zvl0/preview,https://drive.google.com/file/d/11iL4jGBjpoJHti8NaHOzBmsy-iZEh6GJ/preview
